Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
13629,The Mythical Man-Month: Essays on Software Engineering,Frederick P. Brooks Jr.,"Jr., Frederick P. Brooks",,"=""0201835959""","=""9780201835953""",5,4.01,Addison-Wesley Professional,Paperback,322,1995,1975,,2010/04/01,,,read,,,,1,0
28769,Tales Of Pirx The Pilot,Stanisław Lem,"Lem, Stanisław",Louis Iribarne,"=""0156881500""","=""9780156881500""",0,4.10,Harper Voyager,Paperback,206,1990,1961,,2017/06/21,to-read,to-read (#119),to-read,,,,0,0
4099,The Pragmatic Programmer: From Journeyman to Master,Andy Hunt,"Hunt, Andy",Dave Thomas,"=""020161622X""","=""9780201616224""",5,4.33,Addison-Wesley Professional,Paperback,321,1999,1999,,2009/10/03,,,read,,,,1,0
8201080,The Master Switch: The Rise and Fall of Information Empires,Tim Wu,"Wu, Tim",,"=""0307269930""","=""9780307269935""",0,3.89,Knopf,Hardcover,384,2010,2010,,2017/06/03,to-read,to-read (#118),to-read,,,,0,0
16299,And Then There Were None,Agatha Christie,"Christie, Agatha",,"=""0312330871""","=""9780312330873""",0,4.28,St. Martin's Griffin,Paperback,264,2004,1939,,2017/05/30,to-read,to-read (#117),to-read,,,,0,0
18058001,Systems Performance: Enterprise and the Cloud,Brendan Gregg,"Gregg, Brendan",,"=""0133390098""","=""9780133390094""",0,4.50,Pearson,Paperback,772,2013,2013,,2017/05/21,to-read,to-read (#116),to-read,,,,0,0
344729,Designing Visual Interfaces: Communication Oriented Techniques,Kevin E. Mullet,"Mullet, Kevin E.",Darrell Sano,"=""0133033899""","=""9780133033892""",0,3.72,Prentice Hall,Paperback,304,1994,1994,,2017/05/21,to-read,to-read (#115),to-read,,,,0,0
8906352,Jag är inte rabiat. Jag äter pizza.,Niklas Orrenius,"Orrenius, Niklas",,"=""917232189X""","=""9789172321892""",0,3.67,Månpocket,Paperback,234,2010,2010,,2017/05/15,to-read,to-read (#114),to-read,,,,0,0
20382158,Modular Kaizen: Continuous and Breakthrough Improvement,Grace L. Duffy,"Duffy, Grace L.",,"=""0873898648""","=""9780873898645""",0,3.00,Quality Press,Hardcover,224,2013,2013,,2017/05/15,to-read,to-read (#113),to-read,,,,0,0
242472,The Black Swan: The Impact of the Highly Improbable,Nassim Nicholas Taleb,"Taleb, Nassim Nicholas","David Chandler, Микола Климчук","=""""","=""""",0,3.96,Random House ,Hardcover,366,2007,2007,,2017/05/10,to-read,to-read (#112),to-read,,,,0,0
