Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
8908,World War Z: An Oral History of the Zombie War,Max Brooks,"Brooks, Max",,"=""0307346609""","=""9780307346605""",4,4.02,Crown,Hardcover,342,2006,2006,,2013/08/06,,,read,,,,1,0
28862,The Prince,Niccolò Machiavelli,"Machiavelli, Niccolò","Rufus Goodwin, Benjamin Martinez, W.K. Marriott, Denis Daly, Μαρία Κασωτάκη","=""0937832383""","=""9780937832387""",0,3.84,Dante University Press,Paperback,144,2014,1513,,2015/08/02,to-read,to-read (#53),to-read,,,,0,0
22396472,"Tjockare än vatten (Hammarbyserien, #7)",Carin Gerhardsen,"Gerhardsen, Carin",,"=""9113049704""","=""9789113049700""",3,3.79,Norstedts,Hardcover,387,2014,2014,,2015/07/22,,,read,,,,1,0
19101283,The Son,Jo Nesbø,"Nesbø, Jo",Charlotte Barslund,"=""0385351372""","=""9780385351379""",4,4.08,Knopf,Hardcover,407,2014,2014,,2015/07/06,,,read,,,,1,0
18142329,"Police (Harry Hole, #10)",Jo Nesbø,"Nesbø, Jo",Don Bartlett,"=""0307960498""","=""9780307960498""",4,4.23,Knopf,Hardcover,436,2013,2013,2015/06/07,2015/05/26,,,read,,,,1,0
122649,Lady Windermere's Fan,Oscar Wilde,"Wilde, Oscar",,"=""014062399X""","=""9780140623994""",0,3.91,Penguin Books,Paperback,70,1995,1892,,2015/05/26,to-read,to-read (#52),to-read,,,,0,0
92303,The Importance of Being Earnest,Oscar Wilde,"Wilde, Oscar",,"=""158049580X""","=""9781580495806""",0,4.18,Prestwick House,Paperback,76,2005,1895,,2015/05/26,to-read,to-read (#51),to-read,,,,0,0
5297,The Picture of Dorian Gray,Oscar Wilde,"Wilde, Oscar",Jeffrey Eugenides,"=""""","=""""",0,4.12,Random House: Modern Library,Paperback,272,2004,1890,,2015/05/26,to-read,to-read (#50),to-read,,,,0,0
62446,The Prince and the Pauper,Mark Twain,"Twain, Mark",Everett Emerson,"=""0451528352""","=""9780451528353""",0,3.87,Signet,Paperback,240,2002,1881,,2015/05/26,to-read,to-read (#49),to-read,,,,0,0
13256064,"Phantom (Harry Hole, #9)",Jo Nesbø,"Nesbø, Jo",Don Bartlett,"=""0307960471""","=""9780307960474""",5,4.11,Knopf,Hardcover,378,2012,2012,,2015/05/23,,,read,,,,1,0
23355220,"The Leopard (Harry Hole, #8)",Jo Nesbø,"Nesbø, Jo",,"=""""","=""""",5,4.09,,Paperback,634,2009,2009,,2015/05/18,,,read,,,,1,0
14942,Mrs. Dalloway,Virginia Woolf,"Woolf, Virginia",Maureen Howard,"=""0151009988""","=""9780151009985""",0,3.79,Houghton Mifflin Harcourt,Hardcover,194,2002,1925,,2015/05/18,to-read,to-read (#48),to-read,,,,0,0
9572203,"The Snowman (Harry Hole, #7)",Jo Nesbø,"Nesbø, Jo",Don Bartlett,"=""0307595862""","=""9780307595867""",5,4.02,Knopf Publishing Group,Mass Market Paperback,383,2011,2007,,2015/05/03,,,read,,,,1,0
160171,Just for Fun: The Story of an Accidental Revolutionary,Linus Torvalds,"Torvalds, Linus",David Diamond,"=""0066620732""","=""9780066620732""",2,3.96,Harper Business,Paperback,288,2002,2001,,2015/05/03,,,read,,,,1,0
23009874,"Erövraren (Christopher Silfverbielke, #5)",Dan Buthler,"Buthler, Dan",Dag Öhrlund,"=""9174613057""","=""9789174613056""",1,3.30,Lind & Co,Hardcover,384,2014,2014,,2015/04/09,,,read,,,,1,0
11777020,Headhunters,Jo Nesbø,"Nesbø, Jo",Don Bartlett,"=""0307948684""","=""9780307948687""",4,3.80,Vintage Crime/Black Lizard,Paperback,265,2011,2008,,2015/03/05,,,read,,,,1,0
32507,Chasing the Dime,Michael Connelly,"Connelly, Michael",,"=""044661162X""","=""9780446611626""",3,3.97,Warner Books,Mass Market Paperback,448,2003,2002,,2015/02/26,,,read,,,,1,0
84786,"Void Moon (Harry Bosch Universe, #9)",Michael Connelly,"Connelly, Michael",,"=""0446694258""","=""9780446694254""",3,4.00,Grand Central Publishing,Paperback,416,2004,1999,,2015/02/08,,,read,,,,1,0
28293,Life: A User's Manual,Georges Perec,"Perec, Georges",David Bellos,"=""0879237511""","=""9780879237516""",0,4.19,"David R. Godine, Publisher",Paperback,581,1988,1978,,2015/01/27,to-read,to-read (#47),to-read,,,,0,0
1105468,"The Abominable Man (Martin Beck, #7)",Maj Sjöwall,"Sjöwall, Maj","Per Wahlöö, Thomas Teal","=""0007242972""","=""9780007242979""",0,4.02,Harper Perennial,Paperback,216,2007,1971,,2015/01/27,to-read,to-read (#46),to-read,,,,0,0
12917506,The Making of Prince of Persia,Jordan Mechner,"Mechner, Jordan",,"=""""","=""""",0,4.05,,Kindle Edition,332,2011,2011,,2015/01/27,to-read,to-read (#45),to-read,,,,0,0
18743934,Stay Awhile and Listen: Book I - How Two Blizzards Unleashed Diablo and Forged a Video-Game Empire,David L. Craddock,"Craddock, David L.","Amie C.E. Kline, Andrew Magrath, Monica Cesario","=""0988409909""","=""9780988409903""",0,3.81,"Digital Monument Press, LLC",ebook,366,2013,2013,,2015/01/27,to-read,to-read (#44),to-read,,,,0,0
56829,Hackers: Heroes of the Computer Revolution,Steven Levy,"Levy, Steven",,"=""0141000511""","=""9780141000510""",0,4.16,Penguin Books,Paperback,464,2001,1984,,2015/01/27,to-read,to-read (#43),to-read,,,,0,0
2033352,"Frelseren (Harry Hole, #6)",Jo Nesbø,"Nesbø, Jo",,"=""8770530688""","=""9788770530682""",3,4.08,Modtryk,Paperback,479,2007,2005,,2015/01/25,,,read,,,,1,0
498389,"The Devil's Star (Harry Hole, #5)",Jo Nesbø,"Nesbø, Jo",,"=""0099478536""","=""9780099478539""",5,4.06,Vintage,Mass Market Paperback,528,2006,2003,,2015/01/15,,,read,,,,1,0
18214414,"The Silkworm (Cormoran Strike, #2)",Robert Galbraith,"Galbraith, Robert",,"=""0316206873""","=""9780316206877""",0,4.05,Mulholland Books,Hardcover,464,2014,2014,,2015/01/12,to-read,to-read (#42),to-read,,,,0,0
16160797,"The Cuckoo's Calling (Cormoran Strike, #1)",Robert Galbraith,"Galbraith, Robert",,"=""0316206849""","=""9780316206846""",0,3.88,Mulholland Books,Hardcover,456,2013,2013,,2015/01/12,to-read,to-read (#41),to-read,,,,0,0
17255692,Skrivbordskrigarna : Hur extrema krafter utnyttjar internet,Lisa Bjurwald,"Bjurwald, Lisa",,"=""9127133559""","=""9789127133556""",0,3.18,Natur & Kultur,Hardcover,276,2013,2013,,2015/01/11,to-read,to-read (#40),to-read,,,,0,0
3522419,"Nemesis (Harry Hole, #4)",Jo Nesbø,"Nesbø, Jo",Don Bartlett,"=""0061655503""","=""9780061655500""",4,3.98,Harper,Paperback,480,2009,2002,,2015/01/09,,,read,,,,1,0
22554261,"Stalker (Joona Linna, #5)",Lars Kepler,"Kepler, Lars",,"=""9100136743""","=""9789100136741""",4,4.13,Albert Bonniers Förlag,ebook,603,2014,2014,,2015/01/01,,,read,,,,1,0
21,A Short History of Nearly Everything,Bill Bryson,"Bryson, Bill",,"=""076790818X""","=""9780767908184""",0,4.21,Crown,Paperback,544,2004,2003,,2014/12/11,to-read,to-read (#39),to-read,,,,0,0
29579,"Foundation (Foundation, #1)",Isaac Asimov,"Asimov, Isaac",,"=""0553803719""","=""9780553803716""",0,4.17,Bantam,Hardcover,244,2004,1951,,2014/12/11,to-read,to-read (#38),to-read,,,,0,0
89187,"Revelation Space (Revelation Space, #1)",Alastair Reynolds,"Reynolds, Alastair",,"=""0441009425""","=""9780441009428""",0,3.99,Ace Books,Mass Market Paperback,585,2002,2000,,2014/12/11,to-read,to-read (#37),to-read,,,,0,0
18360158,"Switchblade (Harry Bosch, #16.5; Harry Bosch Universe, #25.5)",Michael Connelly,"Connelly, Michael",,"=""0316369861""","=""9780316369862""",0,3.69,"Little, Brown and Company",ebook,32,2014,2014,,2014/12/05,to-read,to-read (#35),to-read,,,,0,0
17333227,"The Gods of Guilt (The Lincoln Lawyer, #5; Harry Bosch Universe, #25)",Michael Connelly,"Connelly, Michael",,"=""0316069515""","=""9780316069519""",4,4.20,"Little, Brown and Company",Hardcover,389,2013,2013,,2014/12/05,,,read,,,,1,0
465226,"The Redbreast (Harry Hole, #3)",Jo Nesbø,"Nesbø, Jo",,"=""184343217X""","=""9781843432173""",4,3.94,Harvill Secker,Paperback,519,2006,2000,,2014/11/25,,,read,,,,1,0
18373214,"Cockroaches (Harry Hole, #2)",Jo Nesbø,"Nesbø, Jo",Don Bartlett,"=""1784703354""","=""9780345807151""",4,3.73,Vintage Crime/Black Lizard,Paperback,368,2014,1998,,2014/11/25,,,read,,,,1,0
20917820,Once Dead (The Rho Agenda Inception),Richard   Phillips,"Phillips, Richard",,"=""1477824103""","=""9781477824108""",0,4.08,47North,Paperback,448,2014,2014,,2014/11/14,to-read,to-read (#34),to-read,,,,0,0
6344534,"The Second Ship (The Rho Agenda, #1)",Richard   Phillips,"Phillips, Richard",,"=""0981546269""","=""9780981546261""",0,3.78,Synergy Books,Paperback,349,2009,2009,,2014/11/14,to-read,to-read (#33),to-read,,,,0,0
968,"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,"Brown, Dan",,"=""""","=""""",1,3.91,Anchor,Paperback,489,2006,2003,,2009/09/30,didntwannafinish,didntwannafinish (#1),read,,,,1,0
1991039,"Flaggermusmannen (Harry Hole, #1)",Jo Nesbø,"Nesbø, Jo",,"=""8203180728""","=""9788203180729""",4,3.56,Aschehoug,Paperback,339,2005,1997,,2014/11/11,,,read,,,,1,0
576862,Confessions of a Flesh-Eater,David Madsen,"Madsen, David",,"=""187398247X""","=""9781873982471""",0,3.61,Dedalus Limited,Paperback,224,1998,1998,,2014/11/06,to-read,to-read (#32),to-read,,,,0,0
375802,"Ender’s Game (Ender's Saga, #1)",Orson Scott Card,"Card, Orson Scott",,"=""0812550706""","=""9780812550702""",5,4.31,Tor,Mass Market Paperback,324,2004,1985,2014/10/22,2013/08/08,,,read,,,,1,0
16130679,Bubble (The Game Trilogy #3),Anders de la Motte,"Motte, Anders de la",,"=""1476712948""","=""9781476712949""",2,3.69,Atria/Emily Bestler Books,Paperback,480,2014,2012,,2014/10/20,,,read,,,,1,0
13495034,"The Black Box (Harry Bosch, #16; Harry Bosch Universe, #24)",Michael Connelly,"Connelly, Michael",,"=""0316069434""","=""9780316069434""",3,4.15,Little Brown,Hardcover,403,2012,2012,,2014/09/17,,,read,,,,1,0
7936809,"The Reversal (The Lincoln Lawyer, #3; Harry Bosch Universe, #21)",Michael Connelly,"Connelly, Michael",,"=""0316069485""","=""9780316069489""",3,4.20,"Little, Brown and Company",Hardcover,389,2010,2010,,2014/09/17,,,read,,,,1,0
9681098,"The Fifth Witness (The Lincoln Lawyer, #4; Harry Bosch Universe, #22)",Michael Connelly,"Connelly, Michael",,"=""0316069353""","=""9780316069359""",3,4.22,"Little, Brown and Company",Hardcover,421,2011,2011,,2014/07/15,,,read,,,,1,0
17975524,"Uppgörelsen (Christopher Silfverbielke, #4)",Dan Buthler,"Buthler, Dan",Dag Öhrlund,"=""9187135183""","=""9789187135187""",2,3.55,Massolit Förlag,Hardcover,467,2013,2013,,2013/09/04,,,read,,,,1,0
98724,How to Make War,James F. Dunnigan,"Dunnigan, James F.",,"=""006009012X""","=""9780060090128""",0,3.98,Harper Paperback,Paperback,672,2003,1982,,2014/07/03,to-read,to-read (#31),to-read,,,,0,0
11836437,Artificial Intelligence: A Guide to Intelligent Systems (3rd Edition),Michael Negnevitsky,"Negnevitsky, Michael",,"=""1408225743""","=""9781408225745""",0,4.45,Pearson Education Canada,Paperback,504,2011,2005,,2014/06/13,to-read,to-read (#30),to-read,,,,0,0
5558786,"Metro 2033 (Metro, #1)",Dmitry Glukhovsky,"Glukhovsky, Dmitry",M. David Drevs,"=""3453532988""","=""9783453532984""",5,4.02,Heyne Verlag,Paperback,764,2008,2002,,2013/08/08,,,read,,,,1,0
76171,We,Yevgeny Zamyatin,"Zamyatin, Yevgeny",Clarence Brown,"=""0140185852""","=""9780140185850""",0,3.89,Penguin Twentieth Century Classics,Paperback,226,1993,1920,,2014/05/21,to-read,to-read (#29),to-read,,,,0,0
1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,"Rowling, J.K.",,"=""""","=""""",4,4.58,Scholastic Inc,Paperback,652,2006,2005,,2009/09/30,,,read,,,,1,0
703532,"Mindstorms: Children, Computers, And Powerful Ideas",Seymour Papert,"Papert, Seymour",,"=""0465046746""","=""9780465046744""",0,4.31,Basic Books,Paperback,252,1993,1980,,2014/04/12,to-read,to-read (#28),to-read,,,,0,0
17744,"The Visual Display of Quantitative Information, 2nd Ed.",Edward R. Tufte,"Tufte, Edward R.",,"=""0961392142""","=""9780961392147""",0,4.39,Graphics Press,Hardcover,200,2001,1983,,2014/04/12,to-read,to-read (#27),to-read,,,,0,0
7082,Do Androids Dream of Electric Sheep?,Philip K. Dick,"Dick, Philip K.",,"=""""","=""""",5,4.09,Del Rey / Ballantine Books,Paperback,244,1996,1968,,2014/04/01,,,read,,,,1,0
11082037,"The Drop (Harry Bosch, #15; Harry Bosch Universe, #23)",Michael Connelly,"Connelly, Michael",,"=""0316069418""","=""9780316069410""",3,4.19,"Little, Brown and Company",Hardcover,388,1994,2011,,2014/03/25,,,read,,,,1,0
2761626,"The Brass Verdict (The Lincoln Lawyer, #2; Harry Bosch Universe, #18)",Michael Connelly,"Connelly, Michael",,"=""0316166294""","=""9780316166294""",3,4.20,"Little, Brown & Company",Hardcover,422,2008,2008,,2014/03/25,,,read,,,,1,0
79885,"The Lincoln Lawyer (The Lincoln Lawyer, #1; Harry Bosch Universe, #15)",Michael Connelly,"Connelly, Michael",,"=""0739465511""","=""9780739465516""",3,4.20,"Little, Brown",Paperback,404,2005,2005,,2014/03/25,,,read,,,,1,0
17909739,"Hennes iskalla ögon (Hammarbyserien, #6)",Carin Gerhardsen,"Gerhardsen, Carin",,"=""9113049712""","=""9789113049717""",5,3.77,Norstedts,Hardcover,373,2013,2013,,2013/08/08,,,read,,,,1,0
6413193,"Nine Dragons (Harry Bosch, #14; Harry Bosch Universe, #20)",Michael Connelly,"Connelly, Michael",,"=""0316166316""","=""9780316166317""",5,4.04,"Little, Brown and Company",Hardcover,374,2009,2009,,2014/01/13,,,read,,,,1,0
13133,The Quickie,James Patterson,"Patterson, James",Michael Ledwidge,"=""0316117366""","=""9780316117364""",3,3.85,"Little, Brown and Company",Hardcover,357,2007,2007,,2014/01/09,,,read,,,,1,0
84785,"The Overlook (Harry Bosch, #13; Harry Bosch Universe, #17)",Michael Connelly,"Connelly, Michael",,"=""0316018953""","=""9780316018951""",2,3.99,"Little, Brown and Company",Hardcover,225,2007,2007,,2014/01/09,,,read,,,,1,0
32501,"Echo Park (Harry Bosch, #12; Harry Bosch Universe, #16)",Michael Connelly,"Connelly, Michael",,"=""0316734950""","=""9780316734950""",4,4.16,"Little, Brown & Company",Hardcover,405,2006,2006,,2014/01/09,,,read,,,,1,0
32505,"The Closers (Harry Bosch, #11; Harry Bosch Universe, #14)",Michael Connelly,"Connelly, Michael",,"=""0446699551""","=""9780446699556""",3,4.17,Grand Central Publishing,Paperback,432,2006,2005,,2013/12/19,,,read,,,,1,0
409918,"The Narrows (Harry Bosch, #10; Harry Bosch Universe, #13)",Michael Connelly,"Connelly, Michael",,"=""0446699543""","=""9780446699549""",4,4.17,Grand Central Publishing,Paperback,436,2006,2004,,2013/12/19,,,read,,,,1,0
126507,"Lost Light (Harry Bosch, #9; Harry Bosch Universe, #12)",Michael Connelly,"Connelly, Michael",,"=""0446611638""","=""9780446611633""",3,4.21,Vision,Mass Market Paperback,387,2004,2003,,2013/12/19,,,read,,,,1,0
15783514,The Ocean at the End of the Lane,Neil Gaiman,"Gaiman, Neil",,"=""0062255657""","=""9780062255655""",0,4.02,William Morrow Books,Hardcover,181,2013,2013,,2013/12/19,to-read,to-read (#26),to-read,,,,0,0
16115612,And the Mountains Echoed,Khaled Hosseini,"Hosseini, Khaled",,"=""159463176X""","=""9781594632112""",0,4.07,Riverhead Books,Hardcover,404,2013,2012,,2013/12/19,to-read,to-read (#25),to-read,,,,0,0
194769,To Mock a Mockingbird and Other Logic Puzzles,Raymond M. Smullyan,"Smullyan, Raymond M.",,"=""0192801422""","=""9780192801425""",0,4.18,Oxford University Press,Paperback,256,2000,1985,,2013/10/04,to-read,to-read (#24),to-read,,,,0,0
7670,"The Andromeda Strain (Andromeda, #1)",Michael Crichton,"Crichton, Michael",,"=""0060541814""","=""9780060541811""",0,3.91,Avon,Mass Market Paperback,327,2003,1969,,2013/09/28,to-read,to-read (#22),to-read,,,,0,0
298064,Right as Rain (Derek Strange and Terry Quinn #1),George P. Pelecanos,"Pelecanos, George P.",,"=""0752843885""","=""9780752843889""",0,3.87,Orion,Paperback,344,2001,2001,,2013/09/28,to-read,to-read (#21),to-read,,,,0,0
2051,The Simple Art of Murder,Raymond Chandler,"Chandler, Raymond",,"=""0394757653""","=""9780394757650""",0,4.13,Vintage Crime/Black Lizard,Paperback,384,1988,1944,,2013/09/28,to-read,to-read (#20),to-read,,,,0,0
2052,"The Big Sleep (Philip Marlowe, #1)",Raymond Chandler,"Chandler, Raymond",,"=""0394758285""","=""9780394758282""",0,3.95,Vintage Crime,Paperback,231,1988,1939,,2013/09/28,to-read,to-read (#19),to-read,,,,0,0
29999,The Maltese Falcon,Dashiell Hammett,"Hammett, Dashiell",,"=""""","=""""",0,3.88,Orion,Paperback,213,2005,1930,,2013/09/28,to-read,to-read (#18),to-read,,,,0,0
7679,The Terminal Man,Michael Crichton,"Crichton, Michael",,"=""0060092572""","=""9780060092573""",0,3.40,Avon,Mass Market Paperback,268,2002,1972,,2013/09/21,to-read,to-read (#17),to-read,,,,0,0
15990921,"Återvändaren (Christopher Silfverbielke, #3)",Dan Buthler,"Buthler, Dan",Dag Öhrlund,"=""9186649817""","=""9789186649814""",3,3.53,Massolit Förlag,Hardcover,424,2012,2012,,2013/09/04,,,read,,,,1,0
15450586,"Grannen (Christopher Silfverbielke, #2)",Dan Buthler,"Buthler, Dan",Dag Öhrlund,"=""9186649809""","=""9789186649807""",3,3.60,Massolit Förlag,Paperback,609,2012,2010,,2013/09/08,,,read,,,,1,0
4845,Code Complete,Steve McConnell,"McConnell, Steve",,"=""0735619670""","=""9780735619678""",4,4.30,Microsoft Press,Paperback,914,2004,1993,2013/09/04,2009/09/30,,,read,,,,1,0
8534768,"En nästan vanlig man (Christopher Silfverbielke, #1)",Dan Buthler,"Buthler, Dan",Dag Öhrlund,"=""9173516643""","=""9789173516648""",4,3.53,Pronto pocket,Paperback,570,2010,2008,,2013/09/04,,,read,,,,1,0
415,Gravity's Rainbow,Thomas Pynchon,"Pynchon, Thomas",,"=""0143039946""","=""9780143039945""",0,4.00,Penguin Books,Paperback,776,2006,1973,,2013/08/12,to-read,to-read (#16),to-read,,,,0,0
1945460,"Les murailles de Samaris (Les Cités obscures, #1)",François Schuiten,"Schuiten, François",Benoît Peeters,"=""2203343044""","=""9782203343047""",0,3.93,Editions Casterman,Hardcover,50,1988,1983,,2013/08/12,to-read,to-read (#15),to-read,,,,0,0
8081751,Vyssan Lull (Hammarbyserien #3),Carin Gerhardsen,"Gerhardsen, Carin",,"=""9170373477""","=""9789170373473""",4,3.81,Ordfront Förlag AB,Hardcover,296,2010,2010,,2013/08/08,,,read,,,,1,0
6891156,"Mamma, pappa, barn (Hammarbyserien, #2)",Carin Gerhardsen,"Gerhardsen, Carin",,"=""9170373469""","=""9789170373466""",4,3.78,Ordfront Förlag,Hardcover,344,2009,2009,,2013/08/08,,,read,,,,1,0
12881425,"Helgonet (Hammarbyserien, #4)",Carin Gerhardsen,"Gerhardsen, Carin",,"=""9113036009""","=""9789113036007""",2,3.71,Norstedts,Hardcover,295,2011,2011,,2013/08/08,,,read,,,,1,0
15769230,"Gideons ring (Hammarbyserien, #5)",Carin Gerhardsen,"Gerhardsen, Carin",,"=""911304415X""","=""9789113044156""",3,3.75,Norstedts,Hardcover,354,2012,2012,,2013/08/08,,,read,,,,1,0
15701094,"The Gingerbread House (Hammarbyserien, #1)",Carin Gerhardsen,"Gerhardsen, Carin",Paul Norlén,"=""9187173239""","=""9789187173233""",4,3.55,Stockholm Text,Paperback,255,2012,2008,,2013/08/08,,,read,,,,1,0
16072751,"Sandmannen (Joona Linna, #4)",Lars Kepler,"Kepler, Lars",,"=""9100130168""","=""9789100130169""",3,4.25,Albert Bonniers Förlag,Hardcover,518,2012,2012,,2013/08/08,,,read,,,,1,0
13057652,"Eldvittnet (Joona Linna, #3)",Lars Kepler,"Kepler, Lars",,"=""9100126438""","=""9789100126438""",3,4.11,Albert Bonniers Förlag,Hardcover,576,2011,2011,,2013/08/08,,,read,,,,1,0
816,"Cryptonomicon (Crypto, #1)",Neal Stephenson,"Stephenson, Neal",,"=""""","=""""",0,4.24,Avon,Mass Market Paperback,1152,2002,1999,,2013/08/08,to-read,to-read (#14),to-read,,,,0,0
32502,"Angels Flight (Harry Bosch, #6; Harry Bosch Universe, #8)",Michael Connelly,"Connelly, Michael",,"=""0446607274""","=""9780446607278""",3,4.21,Grand Central Publishing,Mass Market Paperback,454,2000,1999,,2013/08/06,,,read,,,,1,0
4527502,"The Scarecrow (Jack McEvoy, #2; Harry Bosch Universe, #19)",Michael Connelly,"Connelly, Michael",,"=""""","=""""",4,4.10,Orion,Kindle Edition,423,2009,2009,,2013/08/06,,,read,,,,1,0
76867,"A Darkness More Than Night (Harry Bosch, #7; Harry Bosch Universe, #10)",Michael Connelly,"Connelly, Michael",,"=""0446667900""","=""9780446667906""",3,4.15,Warner Books,Paperback,470,2002,2000,,2013/08/06,,,read,,,,1,0
84777,"City of Bones (Harry Bosch, #8; Harry Bosch Universe, #11)",Michael Connelly,"Connelly, Michael",,"=""0446699535""","=""9780446699532""",3,4.12,Grand Central Publishing,Trade Paperback,408,2006,2002,,2013/08/06,,,read,,,,1,0
49350,"The Concrete Blonde (Harry Bosch, #3; Harry Bosch Universe, #3)",Michael Connelly,"Connelly, Michael",,"=""044661758X""","=""9780446617581""",3,4.21,Grand Central Publishing,Mass Market Paperback,484,2007,1994,,2013/08/06,,,read,,,,1,0
58962,"Trunk Music (Harry Bosch, #5; Harry Bosch Universe, #6)",Michael Connelly,"Connelly, Michael",,"=""0312941919""","=""9780312941918""",3,4.20,St. Martin's Paperbacks,Mass Market Paperback,448,2006,1997,,2013/08/06,,,read,,,,1,0
24244,"The Black Ice (Harry Bosch, #2; Harry Bosch Universe, #2)",Michael Connelly,"Connelly, Michael",,"=""0446613444""","=""9780446613446""",2,4.11,Vision,Mass Market Paperback,439,2003,1993,,2013/08/06,,,read,,,,1,0
49353,"The Last Coyote (Harry Bosch, #4; Harry Bosch Universe, #4)",Michael Connelly,"Connelly, Michael",,"=""075280944X""","=""9780752809441""",3,4.25,Orion,Paperback,400,1997,1995,,2013/08/06,,,read,,,,1,0
32506,"The Poet (Jack McEvoy, #1; Harry Bosch Universe, #5)",Michael Connelly,"Connelly, Michael",,"=""0446690457""","=""9780446690454""",4,4.22,Grand Central Publishing,Paperback,510,2002,1996,,2013/08/06,,,read,,,,1,0
32508,"The Black Echo (Harry Bosch, #1; Harry Bosch Universe, #1)",Michael Connelly,"Connelly, Michael",,"=""0446612731""","=""9780446612739""",4,4.13,Grand Central Publishing,Paperback,482,2002,1992,,2013/08/06,,,read,,,,1,0
313605,Getting to Yes: Negotiating Agreement Without Giving In,Roger Fisher,"Fisher, Roger","William Ury, Bruce Patton","=""0140157352""","=""9780140157352""",3,3.95,Penguin Group,Paperback,200,1992,1981,,2010/06/02,,,read,,,,1,0
11785775,"Livet deluxe (Stockholm noir, #3)",Jens Lapidus,"Lapidus, Jens","Emmanuel Curtil, Maximilien Stadler","=""9146220291""","=""9789146220299""",2,3.63,Wahlström & Widstrand,Hardcover,493,2011,2008,,2011/07/16,,,read,,,,1,0
41786,Joel on Software,Joel Spolsky,"Spolsky, Joel",,"=""1590593898""","=""9781590593899""",4,4.12,Apress,Paperback,362,2004,2004,,2009/10/09,,,read,,,,1,0
7931486,100 Great Time Management Ideas (100 Great Ideas),Patrick  Forsyth,"Forsyth, Patrick",,"=""0462099431""","=""9780462099439""",0,2.71,Marshall Cavendish Intl,Paperback,218,2010,2009,,2011/07/19,to-read,to-read (#13),to-read,,,,0,0
1617618,"Brilliant Manager: What the Best Managers Know, Do & Say",Nic Peeling,"Peeling, Nic",,"=""0273702130""","=""9780273702139""",0,3.41,Ft Pr,Paperback,,2006,2005,,2011/07/19,to-read,to-read (#12),to-read,,,,0,0
44936,Refactoring: Improving the Design of Existing Code,Martin Fowler,"Fowler, Martin","Kent Beck, Don Roberts, Erich Gamma","=""0201485672""","=""9780201485677""",5,4.25,Addison-Wesley Professional,Hardcover,431,1999,1999,,2011/04/02,,,read,,,,1,0
18171,Playing to Win: Becoming the Champion,David Sirlin,"Sirlin, David",,"=""1411666798""","=""9781411666795""",0,3.88,Lulu.com,Paperback,142,2005,2005,,2009/09/30,,,read,,,,1,0
5544,"Surely You're Joking, Mr. Feynman!: Adventures of a Curious Character",Richard P. Feynman,"Feynman, Richard P.","Albert R. Hibbs, Ralph Leighton, Edward Hutchings","=""0393316041""","=""9780393316049""",0,4.27,W. W. Norton & Company,Paperback,391,1997,1985,,2011/04/02,to-read,to-read (#11),to-read,,,,0,0
10409608,Kokain,Lasse Wierup,"Wierup, Lasse",Erik de la Reguera,"=""9113023071""","=""9789113023076""",3,3.49,Norstedts,Hardcover,524,2010,2010,,2011/04/02,,,read,,,,1,0
6732019,Rework,Jason Fried,"Fried, Jason",David Heinemeier Hansson,"=""0307463745""","=""9780307463746""",5,3.98,Crown Currency,Hardcover,279,2010,2010,,2010/04/01,,,read,,,,1,0
3368,Don't Make Me Think: A Common Sense Approach to Web Usability,Steve Krug,"Krug, Steve",,"=""0321344758""","=""9780321344755""",4,4.24,New Riders Pub,Paperback,201,2005,2000,,2009/09/30,,,read,,,,1,0
6949905,"Hypnotisören (Jonna Linna, #1)",Lars Kepler,"Kepler, Lars",,"=""9100124044""","=""9789100124045""",4,3.74,Albert Bonniers Förlag,Hardcover,571,2009,2009,2010/08/08,2010/08/05,,,read,,,,1,0
3985,The Amazing Adventures of Kavalier & Clay,Michael Chabon,"Chabon, Michael",,"=""0312282990""","=""9780312282998""",4,4.18,Picador USA,Paperback,639,2001,2000,,2010/08/05,,,read,,,,1,0
3296910,Web Form Design: Filling in the Blanks,Luke Wroblewski,"Wroblewski, Luke",,"=""1933820241""","=""9781933820248""",0,4.04,Rosenfeld Media,Paperback,226,2008,2008,,2010/04/29,to-read,to-read (#10),to-read,,,,0,0
4268826,"Growing Object-Oriented Software, Guided by Tests",Steve  Freeman,"Freeman, Steve",Nat Pryce,"=""0321503627""","=""9780321503626""",0,4.20,Addison-Wesley Professional,Paperback,345,2009,2009,,2010/04/18,to-read,to-read (#9),to-read,,,,0,0
7157080,"Design of Design, The: Essays from a Computer Scientist",Frederick P. Brooks Jr.,"Jr., Frederick P. Brooks",John Fuller,"=""0201362988""","=""9780201362985""",0,3.76,Addison-Wesley Professional,Paperback,448,2010,2010,,2010/04/01,to-read,to-read (#8),to-read,,,,0,0
6658783,Rocket Surgery Made Easy: The Do-It-Yourself Guide to Finding and Fixing Usability Problems,Steve Krug,"Krug, Steve",,"=""0321657292""","=""9780321657299""",0,4.13,New Riders,Paperback,161,2009,2009,,2010/04/01,to-read,to-read (#7),to-read,,,,0,0
